date,bn,nf,usd
2023-05-11,43475.30078125,18297.0,81.9198989868164
2023-05-12,43793.55078125,18314.80078125,82.10030364990234
2023-05-15,44072.1015625,18398.849609375,82.20030212402344
2023-05-16,43903.69921875,18286.5,82.2667007446289
2023-05-17,43698.69921875,18181.75,82.2959976196289
2023-05-18,43752.30078125,18129.94921875,82.45030212402344
2023-05-19,43969.3984375,18203.400390625,82.72509765625
2023-05-22,43885.1015625,18314.400390625,82.90480041503906
2023-05-23,43954.44921875,18348.0,82.82499694824219
2023-05-24,43677.8515625,18285.400390625,82.8906021118164
2023-05-25,43681.3984375,18321.150390625,82.71369934082031
2023-05-26,44018.0,18499.349609375,82.74210357666016
2023-05-29,44311.8984375,18598.650390625,82.57479858398438
2023-05-30,44436.3515625,18633.849609375,82.57969665527344
2023-05-31,44128.1484375,18534.400390625,82.68389892578125
2023-06-01,43790.19921875,18487.75,82.66680145263672
2023-06-02,43937.8515625,18534.099609375,82.27670288085938
2023-06-05,44101.6484375,18593.849609375,82.40979766845703
2023-06-06,44164.55078125,18599.0,82.51119995117188
2023-06-07,44275.30078125,18726.400390625,82.51719665527344
2023-06-08,43995.25,18634.55078125,82.61810302734375
2023-06-09,43989.0,18563.400390625,82.48829650878906
2023-06-12,43944.19921875,18601.5,82.4448013305664
2023-06-13,44079.8515625,18716.150390625,82.33719635009766
2023-06-14,43988.0,18755.900390625,82.29039764404297
2023-06-15,43443.6015625,18688.099609375,82.04499816894531
2023-06-16,43938.1484375,18826.0,81.9126968383789
2023-06-19,43633.75,18755.44921875,81.91480255126953
2023-06-20,43766.5,18816.69921875,81.98139953613281
2023-06-21,43859.19921875,18856.849609375,81.9917984008789
2023-06-22,43724.8515625,18771.25,81.94149780273438
2023-06-23,43622.8984375,18665.5,81.91929626464844
2023-06-26,43641.05078125,18691.19921875,81.98480224609375
2023-06-27,44121.5,18817.400390625,82.00650024414062
2023-06-28,44327.80078125,18972.099609375,81.99839782714844
2023-06-30,44747.3515625,19189.05078125,82.07540130615234
2023-07-03,45158.1015625,19322.55078125,82.09629821777344
2023-07-04,45301.44921875,19389.0,81.95010375976562
2023-07-05,45151.80078125,19398.5,82.0071029663086
2023-07-06,45339.8984375,19497.30078125,82.39409637451172
2023-07-07,44925.0,19331.80078125,82.76840209960938
2023-07-10,44860.8515625,19355.900390625,82.61530303955078
2023-07-11,44745.05078125,19439.400390625,82.52529907226562
2023-07-12,44639.44921875,19384.30078125,82.39990234375
2023-07-13,44665.05078125,19413.75,82.00180053710938
2023-07-14,44819.30078125,19564.5,82.03079986572266
