date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-06-09,22300,PE,79.3,26585,380,23643.5
2026-05-15,2026-06-09,22550,PE,115.15,1300,40,23643.5
2026-05-15,2026-05-19,22550,PE,4.0,1211210,207744,23643.5
2026-05-15,2026-05-19,22650,PE,5.1,1543490,272558,23643.5
2026-05-15,2026-05-19,24750,PE,1114.65,6370,81,23643.5
2026-05-15,2026-05-19,24950,PE,1290.7,6175,10,23643.5
2026-05-15,2026-05-19,25100,PE,1466.8,8775,15,23643.5
2026-05-15,2026-05-19,25550,PE,1890.1,520,0,23643.5
2026-05-15,2026-05-19,25700,PE,2040.0,260,0,23643.5
2026-05-15,2026-05-19,26100,PE,2439.75,1560,0,23643.5
2026-05-15,2026-05-26,20300,PE,2.7,21970,555,23643.5
2026-05-15,2026-05-26,21500,PE,5.75,1533350,44743,23643.5
2026-05-15,2026-05-26,22150,PE,17.05,81315,9002,23643.5
2026-05-15,2026-05-26,22400,PE,27.2,758615,39860,23643.5
2026-05-15,2026-06-09,22600,PE,118.2,9945,282,23643.5
2026-05-15,2026-06-09,23000,PE,195.25,42445,646,23643.5
2026-05-15,2026-06-09,23100,PE,218.5,9035,141,23643.5
2026-05-15,2026-06-09,25150,PE,1461.15,0,0,23643.5
2026-05-15,2026-06-09,25500,PE,1782.95,0,0,23643.5
2026-05-15,2026-06-16,21700,PE,18.55,455,7,23643.5
2026-05-15,2026-06-16,22800,PE,142.6,975,21,23643.5
2026-05-15,2026-06-16,24100,PE,670.25,0,0,23643.5
2026-05-15,2026-06-16,24150,PE,701.1,0,0,23643.5
2026-05-15,2026-06-16,24400,PE,866.35,0,0,23643.5
2026-05-15,2026-06-16,25000,PE,1328.7,0,0,23643.5
2026-05-15,2026-06-16,25550,PE,1812.15,0,0,23643.5
2026-05-15,2026-06-16,25900,PE,2138.6,0,0,23643.5
